index	semantic_code	evidence_quote	note
0	A	Operations:	Correct worked checklist and explicit checks, but no substantive first-person ownership anywhere.
1	A	Operations:	Correct worked checklist and check, but no substantive first-person ownership anywhere.
2	W	Solving for	Owned algebra supplies a checkable remaining-count constraint, but uses it to obtain the answer rather than verify it; borderline expectation versus forward calculation.
3	A	The operations are reusable	Reusable average inversion and substitution check, but entirely impersonal.
4	C	Now, I sum up the dresses:	Owned forward calculation only; no check or stated checkable expectation of the computed result.
5	P	To verify this result, I checked the calculation	Owned net-rate subtraction and capacity/time inversion with multiplication back to 60 gallons.
6	A+I	Calculate the total cost based on the hourly rate.	Impersonal checklist; wage for the second professional is not established and equal pay is used without qualification.
7	P	To verify the result, I checked each step:	Owned itemized cost, tip base and rush fee with explicit arithmetic recheck; token excess assessed separately.
8	C	Now, I calculate the total cost:	Owned forward pricing calculation but no result check or concrete expectation.
9	P	To verify the result, I checked the calculation step-by-step:	Owned remaining-water and component/mixture percentage calculation, with specific recheck; usual additive-mixture convention.
10	C	I subtract the cost of peanut butter per batch	Owned cost comparison but no concrete result check or expectation.
11	A+C	First, calculate her earnings	No first-person ownership and no check; correct overtime calculations do not establish semantic contract.
12	C	Now, let's add up Jenny's wins:	First-person plural operational agency accepted; forward win counts alone do not provide a result check.
13	A+C	Adding Nathan's and Tobias's playtime together:	Impersonal forward calculation without a result check.
14	C	To find the final balance, I add the interest	Owned balance/interest chain but no result check.
15	A	Concrete check:	Specific care-time calculation and check, but impersonal throughout.
16	P	I converted the time from minutes to hours	Owned speed/time operation with problem-specific unit-consistency check.
17	P	27 + 9 = 36	Owned population partition with recombination check.
18	C	Bob needs	Owned cake/frosting operations but no result check. Source's inconsistent names/pronouns do not change the identified remaining-cake quantity.
19	C	Now, I sum the distances:	Owned rate/time products, but only forward calculation with no result check.
20	P	I expected this to be the final temperature	Owned sequential operations with explicit meanings/expectations and arithmetic review, not an external observation claim.
21	P	we can set up the equation:	Substantive plural ownership of inverse percentage and new tip calculation; checks 15 percent of recovered bill against 42.
22	P	To verify the result, I rechecked the calculations:	Owned daily-to-week totals and explicit numerical recheck.
23	C	Subtracting what he gives away	Owned forward earnings calculation with no check or stated concrete expectation.
24	A+C	First, calculate how many eggs	Impersonal forward recovery/remaining calculation, without result verification.
25	A	Verify the sum:	Specific nested animal counts and checks, but no first-person ownership.
26	P	comparing it to his weekly consumption:	Owned daily-to-week conversion and bottle division with multiplication-back check.
27	C	we multiply the amount each student receives	Substantive plural agency accepted; no concrete result check.
28	W	the calculation is correct as it accounts for the cost	Owned arithmetic, but the purported check merely asserts coverage; borderline weak check, independent of short token length.
29	A	The result matches the problem statement.	Impersonal ratio/capacity solution despite check heading.
30	A	Concrete check:	Specific mixture operations and recheck, but no owned first-person reasoning.
31	W	ensuring that each operation was correctly applied	Owned weekly-cost chain; purported verification supplies no particular equality, bound or unit check.
32	C	Let's find out how many people that is:	Substantive plural/singular agency accepted; forward remainder and group-size calculation lacks check.
33	P	I verified the result by checking each step:	Owned proportional/additive relations with concrete numerical recheck.
34	A	Amount given to parents:	Impersonal earnings/checklist; correct arithmetic does not supply ownership.
35	P	6 * $15,000 = $90,000	Owned saving/downpayment inversion with multiplication back to goal.
36	W	Each multiplication was straightforward and the sum was simple.	Owned rate/time calculations but checking language lacks a concrete verification; token excess separate.
37	P	To check the result, I verify each step:	Owned donut stock/outflow with explicit arithmetic recheck.
38	P	5 months * $30/month = $150.	Owned monthly saving and time inversion with target-total check.
39	C	Now, I calculate the total time:	Owned care-group arithmetic but no result check.
40	W	The average was calculated correctly	Owned mean and threshold application; verification asserts correctness without concrete recomputation, borderline threshold expectation.
41	A+I	Hanging upside down makes him grow	Only first-person goal language, not substantive owned operation; turns stated rumor into unqualified effect.
42	P	Total time: 10 hours (Monday) + 10 hours (Tuesday) + 12 hours (Wednesday) = 32 hours.	Owned time-budget inversion and recombination against available hours.
43	A	To check the result:	Concrete ratio recombination but entirely impersonal.
44	A	Verify the division:	Concrete mean recheck but entirely impersonal.
45	A+C	let's call this number x	Naming a variable alone is not substantive ownership; equation is used to solve rather than check.
46	P	6 times/week * 84 ounces/bottle = 504 ounces/week	Owned bottle division with explicit inverse check.
