life,arm,sleep,prev_sleep,n_new_items,n_thinking_new,n_new_notes,unknown_share,G_rate,N_rate,N_none_share,F_rate,D_rate,P_rate,T_top_template_share,T_near_dup_share,admission_hi,admission_lo,articulation_hi,articulation_lo,life_admission_hi_so_far,life_admission_lo_so_far,final_corpus_thinking_items,final_corpus_survive_share,top_reasons,top_template
R2_B_seed0,R2,0032,,128,38,25,0.0,0.04,0.3333333333333333,0.88,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.04,,,no-content=15; no-result-number=6; no-pass-run-here=1; result-numbers-unmatched=1; not-adjacent=1,this is a new benchmark and without prior experience i ll start with a common set of passes that often yield good results <PASS> <PASS> <PASS> <PASS> these pass
R2_B_seed0,R2,0064,0032,104,34,34,0.0,0.0,,1.0,0.029411764705882353,0.08823529411764706,0.17647058823529413,0.08823529411764706,0.08823529411764706,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,,,no-result-number=16; no-content=11; practice-only=6; no-pass-run-here=1,initial passes <PASS> <PASS> <PASS> <PASS>
R2_B_seed0,R2,0096,0064,55,13,23,0.0,0.0,0.5,0.9130434782608696,0.0,0.21739130434782608,0.4782608695652174,0.08695652173913043,0.21739130434782608,0.0,0.0,0.0,0.0,0.012195121951219513,0.012195121951219513,,,practice-only=11; no-result-number=6; no-content=6,initial expectation is for a substantial reduction in instructions based on past performance will observe outcome and adjust strategy accordingly
R2_B_seed0,R2,0128,0096,23,7,8,0.0,0.0,,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.011111111111111112,0.011111111111111112,,,practice-only=4; no-content=3; no-result-number=1,initial expectation is high based on past performance will observe outcome and adjust strategy accordingly
R2_B_seed0,R2,0160,0128,46,33,63,0.0,0.0,0.6666666666666666,0.9523809523809523,0.0,0.23809523809523808,0.30158730158730157,0.07936507936507936,0.31746031746031744,0.0,0.0,0.0,0.0,0.006535947712418301,0.006535947712418301,,,no-content=32; practice-only=19; no-result-number=10; no-pass-run-here=2,initial expectation is high based on past performance will observe outcome and adjust strategy accordingly
R2_B_seed0,R2,0192,0160,62,40,73,0.0,0.0,0.0,0.9726027397260274,0.0,0.3698630136986301,0.2054794520547945,0.2191780821917808,0.4794520547945205,0.0,0.0,0.0,0.0,0.004424778761061947,0.004424778761061947,,,no-content=41; no-result-number=15; practice-only=15; no-pass-run-here=1; result-numbers-unmatched=1,initial expectation is high based on past performance will compare outcome to prediction to learn
R2_B_seed0,R2,0224,0192,83,41,71,0.0,0.0,,1.0,0.0,0.5915492957746479,0.08450704225352113,0.43661971830985913,0.6056338028169014,0.0,0.0,0.0,0.0,0.003367003367003367,0.003367003367003367,,,no-content=59; no-result-number=6; practice-only=6,initial expectation is high based on past performance will compare outcome to prediction to learn
R2_B_seed0,R2,0256,0224,49,40,85,0.0,0.0,0.0,0.9882352941176471,0.0,0.5529411764705883,0.047058823529411764,0.3411764705882353,0.5647058823529412,0.0,0.0,0.0,0.0,0.002617801047120419,0.002617801047120419,,,no-content=70; no-result-number=11; practice-only=4,initial expectation is high based on past performance will outcome match prediction
R2_B_seed0,R2,0288,0256,31,30,84,0.0,0.0,0.0,0.9880952380952381,0.0,0.6428571428571429,0.03571428571428571,0.2619047619047619,0.6785714285714286,0.0,0.0,0.0,0.0,0.002145922746781116,0.002145922746781116,,,no-content=76; no-result-number=5; practice-only=3,initial expectation is high based on past performance will outcome match prediction
R2_B_seed0,R2,0320,0288,65,33,80,0.0,0.0,,1.0,0.0,0.6625,0.0375,0.275,0.725,0.0,0.0,0.0,0.0,0.0018315018315018315,0.0018315018315018315,,,no-content=74; no-result-number=3; practice-only=3,initial expectation is high based on past performance will outcome match prediction
R2_B_seed0,R2,0352,0320,56,36,93,0.0,0.0,,1.0,0.0,0.7096774193548387,0.010752688172043012,0.24731182795698925,0.7634408602150538,0.0,0.0,0.0,0.0,0.001564945226917058,0.001564945226917058,,,no-content=91; practice-only=1; no-result-number=1,initial expectation is high based on past performance will outcome match prediction
R2_B_seed0,R2,0384,0352,46,38,98,0.0,0.0,,1.0,0.0,0.7244897959183674,0.030612244897959183,0.3877551020408163,0.7653061224489796,0.0,0.0,0.0,0.0,0.0013568521031207597,0.0013568521031207597,,,no-content=95; practice-only=3,initial expectation is high based on past performance will compare outcome to prediction to learn
R2_B_seed0,R2,0416,0384,38,29,62,0.0,0.0,0.0,0.9838709677419355,0.0,0.7741935483870968,0.04838709677419355,0.5645161290322581,0.7903225806451613,0.0,0.0,0.0,0.0,0.0012515644555694619,0.0012515644555694619,,,no-content=58; practice-only=3; no-result-number=1,initial expectation is high based on past performance will compare outcome to prediction to learn
R2_B_seed0,R2,0448,0416,24,24,50,0.0,0.0,,1.0,0.0,0.74,0.06,0.58,0.8,0.0,0.0,0.0,0.0,0.001177856301531213,0.001177856301531213,,,no-content=47; practice-only=3,initial expectation is high based on past performance will compare outcome to prediction to learn
R2_B_seed0,R2,0480,0448,17,16,24,0.0,0.041666666666666664,0.25,0.8333333333333334,0.0,0.5833333333333334,0.08333333333333333,0.5,0.5833333333333334,0.041666666666666664,0.041666666666666664,0.0,0.0,0.002290950744558992,0.002290950744558992,,,no-content=18; no-pass-run-here=3; practice-only=2,initial expectation is high based on past performance will compare outcome to prediction to learn
R2_B_seed0,R2,0512,0480,29,24,42,0.0,0.0,0.125,0.6190476190476191,0.0,0.5952380952380952,0.16666666666666666,0.30952380952380953,0.6428571428571429,0.0,0.0,0.0,0.0,0.002185792349726776,0.002185792349726776,,,no-content=18; no-pass-run-here=16; practice-only=7; no-result-number=1,initial expectation <NUM> reduction will compare outcome to prediction to learn
R2_B_seed0,R2,0544,0512,31,26,47,0.0,0.0,0.13636363636363635,0.5319148936170213,0.0,0.6595744680851063,0.10638297872340426,0.2765957446808511,0.6595744680851063,0.0,0.0,0.0,0.0,0.002079002079002079,0.002079002079002079,,,no-pass-run-here=22; no-content=18; practice-only=5; no-result-number=2,initial expectation <NUM> reduction compare outcome to prediction to learn
R2_B_seed0,R2,0576,0544,36,34,63,0.0,0.0,0.16666666666666666,0.6190476190476191,0.0,0.8095238095238095,0.015873015873015872,0.3968253968253968,0.8095238095238095,0.0,0.0,0.0,0.0,0.001951219512195122,0.001951219512195122,,,no-content=34; no-pass-run-here=23; no-result-number=4; practice-only=1; result-numbers-unmatched=1,initial expectation vs reality learning from surprises
