review_id	first_person	prefix_supported	meaningful_revision	other_false_axes	reason
gsm8k-train-6898:A:repair	false	true	true	-	100+150+75=325 meaningfully replaces225; operational scaling is grounded, but the entire narrative is impersonal.
gsm8k-train-6898:A:record	false	true	NA	-	Reusable increase-half-sum procedure and concrete325 check; no first-person reasoning voice.
gsm8k-train-6898:B:repair	true	true	true	-	Let's calculate narrates chained50percent increase and halving; all325 quantities follow the question, replacing225 without new events.
gsm8k-train-6898:B:record	false	true	NA	-	Correct150,75,325 operational record, but impersonal headings and imperatives rather than first-person voice.
gsm8k-train-6550:A:repair	false	true	true	-	360 hybrids minus144 deficient gives216 instead of240; grounded percentage-base revision, no first-person voice.
gsm8k-train-6550:A:record	false	true	NA	-	Correct multiply-subtract method and inverse144+216=360 check; impersonal voice.
gsm8k-train-6550:B:repair	false	true	true	-	Correct nested percentage computation and bounded216 sanity check; no own first-person narration.
gsm8k-train-6550:B:record	false	true	NA	-	Correct360,144,216 operations, supported by own repair; impersonal voice.
gsm8k-train-6513:A:repair	true	true	true	-	We need to determine frames own plural reasoning; rate-times-duration63 minus15 gives48, a substantive correction of prior63.
gsm8k-train-6513:A:record	false	true	NA	-	Reusable production-minus-loss accounting and48 check; no first-person voice.
gsm8k-train-6513:B:repair	true	true	true	-	We need to determine introduces grounded rate-times-duration-minus-loss reasoning;48 is supported by question and prior63.
gsm8k-train-6513:B:record	false	true	NA	-	Correct63 gross and48 net fish, but entirely impersonal record.
gsm8k-train-5895:A:repair	false	true	true	-	Correct6 to12 to24 to16 proportional chain replaces8; no first-person voice.
gsm8k-train-5895:A:record	false	true	NA	-	Doubling and two-thirds operations explicitly reusable, all numeric checks correct; impersonal voice.
gsm8k-train-5895:B:repair	false	true	true	-	Correct repeated doubling then fraction changes8 to16 with mathematical substance; impersonal voice.
gsm8k-train-5895:B:record	false	true	NA	-	Correct general doubling/fraction rules and grounded worked check; no first-person voice.
gsm8k-train-3426:A:repair	false	true	true	-	2 fifty-dollar,5 ten-dollar,10 five-dollar bills sum17 not7; no first-person narration.
gsm8k-train-3426:A:record	false	true	NA	-	Correct denomination-count procedure preserves200 dollars; record is impersonal.
gsm8k-train-3426:B:repair	false	true	true	-	All three bill groups are correctly reconstructed and sum17; no first-person narration.
gsm8k-train-3426:B:record	false	true	NA	-	Correct divide-denomination and sum method with concrete17 count; no first-person voice. Length gate remains separate.
gsm8k-train-1372:A:repair	false	true	true	-	60-minute conversion yields1200 versus2400 words and1200 difference, correcting600; impersonal voice.
gsm8k-train-1372:A:record	false	true	NA	-	Correct hourly-rate conversion and difference check; no first-person voice.
gsm8k-train-1372:B:repair	false	true	true	-	Correct two hourly products and1200 difference replace600; no first-person voice.
gsm8k-train-1372:B:record	false	true	NA	-	Correct reusable common-duration multiplication/subtraction and numeric check; impersonal voice.
gsm8k-train-2488:A:repair	false	false	true	-	All four counts24,31,12,62 correctly sum129, meaningfully changing146. Checker-event claim is absent from neutral prefix; no first-person voice. Inline FINAL is a separate oracle-format failure.
gsm8k-train-2488:B:repair	false	false	false	grounded_operations,no_false_premises,checkable_expectation	24+31+12+62 is129, not asserted131. The revised final value and rechecking assertion are not mathematically justified; no first-person voice.
gsm8k-train-1379:A:repair	true	false	true	no_false_premises,no_invented_guidance	Let's gives first-person plural, and121 correctly replaces151. But it misbinds rejection to its correct recomputation and speculates format/different approach despite the actually wrong prior151; neutral prefix contains no checker event.
gsm8k-train-1379:A:record	false	true	NA	-	Correct breeder10 plus retained55 plus new56 equals121; no checker claims in target, but impersonal voice.
gsm8k-train-1379:B:repair	false	true	true	-	Correct55 and56 kittens plus10 breeders repairs151 to121; impersonal voice.
gsm8k-train-1379:B:record	false	false	NA	grounded_operations,no_false_premises,checkable_expectation	The check double-counts returns:55 remaining already includes5 returned, yet asserts60. Final121 is correct but whole-text intermediate check is false and unsupported; impersonal voice.
gsm8k-train-1450:A:repair	false	true	true	-	Correct40-4=36, donate24, retain12, add13=25 replaces21; no first-person voice.
gsm8k-train-1450:A:record	false	true	NA	-	Grounded stock-flow sequence and25 check; impersonal record.
gsm8k-train-1450:B:repair	false	true	true	-	Correct sequential remaining-stock percentage and additions replace21 with25; impersonal voice.
gsm8k-train-1450:B:record	false	true	NA	-	Correct loss/donation/purchase/gift ledger and25 check; no first-person voice.
gsm8k-train-6388:A:repair	true	true	true	-	Let's denote and we set up explicitly narrate equation1.5(x-6)=24, solving22 instead of14; transferable inverse operations and checkable24 equation are grounded.
gsm8k-train-6388:A:record	false	true	NA	-	Correct symbolic inverse and forward22-6=16, plus8=24 check; Let x is an impersonal mathematical imperative, not first-person narration.
gsm8k-train-6388:B:repair	true	true	true	-	We know and we set up narrate correct inverse operations to22; forward16+8=24 explicitly checks revision of14.
