# arXiv IDs tracked for related work (one per line: id  short-tag)
2603.01097  lora-as-knowledge-memory
2505.01812  new-news-system2-ft
2606.04536  tmem-agent-qa-lora
2605.27762  peam-slow-fast-minecraft
2603.01761  modular-memory-position
2604.27003  when-cl-moves-to-memory
2607.15094  alphawise-weight-interp
2606.03979  language-models-need-sleep
2301.12050  deckard-dream-wake-minecraft
2301.04104  dreamerv3-world-model
2305.16291  voyager-skill-library
2308.10144  expel-experiential-lessons
2303.11366  reflexion-verbal-rl
2304.03442  generative-agents-reflection
2502.12110  a-mem-agentic-memory
2608.09184  agentic-router-lora-consequence
2602.02474  memskill-learned-memory-ops
1705.08690  deep-generative-replay
1711.10563  fearnet-dual-memory-cls
1809.10635  brain-inspired-generative-replay
1908.02240  sleep-phase-ann-forgetting
2007.09560  overfitted-brain-dreams
2201.12604  cls-er-fast-slow-replay
2401.08623  wake-sleep-consolidated-learning
2405.14831  hipporag-hippocampal-index
2504.13171  sleep-time-compute
2504.14727  semi-parametric-consolidation
2506.10943  seal-self-adapting-lm
2604.20943  scm-sleep-forgetting
2605.20616  auto-dreamer-offline-consolidation
2605.26099  offline-recurrence-sleep
