representative_index	expression	derived_value	status	reason	assumptions
0	2000*9/10*(50*(1-8/10))-15000	3000	PASS	Sell 1800 items for 10 each, then subtract 15000 debt.	Each item carries stated unit price; ordinary sale/debt accounting.
1	(22-(7*60/10)*(1/2))/(1/2)	2	PASS	420 minutes permits 42 pizzas consuming 21 kg, leaving 1 kg for two more.	Continuous serial pizza production during the available time, the standard intended rate model; no unmentioned downtime.
2	4*8-5-15-5	7	PASS	32 initial minus 5 to Mae minus 15 remaining gives 12 to Lea; Lea-minus-Mae is 7.	Crayon counts conserved; difference asks Lea minus Mae.
3	94*5-(90+98+92+94)	96	PASS	Required total 470 minus existing 374 gives 96; 374+96=470.	Equally weighted quizzes.
4	16+16/2+(16/2+12)	44	PASS	Emily 16, Melissa 8, Debora 20, total 44.	Stated half and additive relations.
5	60/(16/10-1/10)	40	PASS	Net inflow 1.5 gallons/minute; 40 minutes accumulates 60 gallons.	Initially empty pool and constant simultaneous rates, standard filling model.
6	6*7*2*15	1260	UNRESOLVED	1260 follows only if both professionals earn 15/hour. Literal prompt fixes one wage only; cost is 630+42*r for second wage r. r=20 gives 1470 without violating givens.	Equal second wage is not supplied and is not silently adopted as fact.
7	((1+3)*12+2*6)*(1+2/10)+5	77	PASS	Food subtotal 60, tip 12, rush fee 5, total 77.	One main per diner; tip on food before separately added rush fee.
9	2/(2+(16-4)*4)*100	4	PASS	Only water evaporates and is quadrupled; powder remains 2 of modeled 50 total tablespoons.	Usual additive mixture-volume model and no powder loss; not a physical density claim.
10	(3*3)/2-3/2	3	PASS	Half-jar costs 4.50 and 1.50, difference 3.	Same half-jar consumption for both recipes.
11	(8*18+(10-8)*(18+18/2))*5	990	PASS	Daily regular 144 plus overtime 54 yields 198; five shifts yield 990.	Stated fictional pay rule, not employment-law guidance.
12	(10-1)+(10*2)*(1-75/100)	14	PASS	9 wins versus Mark plus 5 versus Jill yields 14.	No draws, ordinary binary-win word-problem convention.
13	3*2*7+5*7	77	PASS	Nathan 42 hours plus Tobias 35 hours.	Seven days per week.
14	(150-50)*(1+20/100)	120	PASS	Payment leaves 100; 20 percent adds 20.	Payment precedes specified month-end interest; no additional charges.
15	(12-12/3)*5+(12/3)*5*(1+20/100)	64	PASS	Eight standard patients need 40 minutes, four special patients need 24.	Sequential serving with constant rates.
16	30+20*(30/60)	40	PASS	Home leg is 10 miles; adding 30-mile first leg gives 40.	Given travel speed applies to the full home leg.
17	40*(1-1/10)*(1-3/4)	9	PASS	36 present, 27 classroom, 9 canteen; 4+27+9=40.	Fractions applied to the specified population, not original total twice.
18	(10*5-12)*2	76	PASS	50 cakes minus 12 eaten leaves 38; two cans each gives 76.	Source has inconsistent names/pronouns; question still identifies the same remaining cakes.
19	(15+46+33+30)*2	248	PASS	Distances 30,92,66,60 sum to 248.	Each bird flies at its stated rate for both hours.
20	(40*2-30)*(1-30/100)+24	59	PASS	Sequential settings 80,50,35,59; percent reduction is on current 50.	Arithmetic thermostat-setting model, not absolute-temperature physics.
21	(42/(15/100))*(20/100)	56	PASS	Recover bill 280 from 15 percent tip 42; 20 percent is 56.	Both tips use the same bill base.
23	(5*1+5*3)*(1-1/2)	10	PASS	Earn 20 and keep half, 10.	No extra costs stated.
24	30-5/(20/100)	5	PASS	Sell 25 eggs to recover 5 at 0.20 each; five remain.	Per-egg proceeds recover stated capital without added costs.
25	1+4+4*2+4*2*3	37	PASS	1 dog,4 cats,8 rabbits,24 hares total 37.	Each attached animal is distinct.
26	72*7/84	6	PASS	Weekly use 504 ounces equals six full 84-ounce bottle loads.	Counts full-bottle equivalents with no wasted water or initial inventory; not arbitrary partial refills.
27	155250/1000*100	15525	PASS	Each recipient gets 155.25; one hundred recipients get 15525.	Each receives the stated fraction of original winnings.
28	(3*(1/2)+2)*8	28	PASS	Weekly cost 3.50 for specified editions, eight weeks 28.	Prices and weekly purchases remain fixed.
29	49/(4+3)*3*4	84	PASS	Seven equal-count fruit pairs per bag, 21 apples across three bags, 84 ounces apples.	Full capacity 49 ounces and equal apple/orange counts; Marta/Martha refers to same buyer.
32	(54-3*10)/4*2	12	PASS	Office orders use 30; remaining 24 feeds half-group of six; group size 12.	All 54 bacon sandwiches belong to described orders; unmentioned group members order no additional bacon sandwiches.
35	(450000*20/100)/(150000*10/100)	6	PASS	Save 15000 annually to reach 90000 downpayment in six years.	Starting savings zero, fixed salary/price, no investment returns, standard saving model.
37	4*12-12-6	30	PASS	48 donuts minus 12 and 6 gifts leaves 30.	Half dozen is six.
38	150/((20+40)/2)	5	PASS	Monthly earnings 60, savings 30; five months saves 150.	Starts from zero savings; constant monthly earnings and saving share.
