life,arm,sleep,n_items,n_thinking,n_tokens,n_truncated_pass,n_number,n_pct,n_pass,sourced_number,sourced_pct,sourced_pass,share_sourced,share_sourced_any_episode,items_with_unsourced,confabulation_rate,confabulation_rate_any_episode,n_thinking_without_ledger_episode,top_unsourced,prev_sleep,n_new,new_n_thinking,new_share_sourced,new_confabulation_rate,new_confabulation_rate_any_episode
R2_B_seed2,R2,0032,127,39,16,0,0,2,14,,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R2_B_seed2,R2,0512,855,569,2326,3,18,460,1848,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,0480,47,40,1.0,0.0,0.0
R2_B_seed2,R2,1024,1427,1052,5390,12,27,1015,4348,0.8148148148148148,1.0,0.9988500459981601,0.9981447124304267,0.9998144712430427,9,0.008555133079847909,0.0009505703422053232,0,number:55=5; pass:-mem2=2; pass:-simplifyc=1; pass:-simpl=1; pass:-mem2re=1,0992,30,24,1.0,0.0,0.0
R2_B_seed3,R2,0032,115,36,7,0,1,1,5,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R2_B_seed3,R2,0512,970,542,3473,3,369,405,2699,1.0,1.0,0.9977769544275658,0.9982723869853153,0.9988482579902102,4,0.007380073800738007,0.005535055350553505,0,pass:-simplif=2; pass:-reasso=1; pass:-rea=1; pass:-loop-vectorize=1; pass:-fun=1,0480,34,29,0.9907692307692307,0.06896551724137931,0.034482758620689655
R2_B_seed3,R2,1024,1234,712,5007,5,566,606,3835,1.0,1.0,0.9955671447196871,0.9966047533453165,0.9984022368683843,13,0.018258426966292134,0.008426966292134831,0,pass:-reassociat=5; pass:-simplif=2; pass:-loop-unro=2; pass:-instc=2; pass:-reasso=1; pass:-rea=1; pass:-loop-vectorize=1; pass:-fun=1; pass:-mem2r=1; pass:-mem2re=1,0992,12,11,1.0,0.0,0.0
R2_B_seed4,R2,0032,125,37,22,0,3,3,16,0.6666666666666666,1.0,1.0,0.9545454545454546,1.0,1,0.02702702702702703,0.0,0,number:33=1,,,,,,
R2_B_seed4,R2,0512,854,540,9990,11,730,968,8292,0.9958904109589041,1.0,0.77990834539315,0.817017017017017,0.9953953953953953,245,0.4537037037037037,0.07407407407407407,0,pass:-inline=338; pass:-functionattrs=320; pass:-globalopt=315; pass:-loop-vectorize=313; pass:-loop-unroll=256; pass:-loop=136; pass:-reassociate=61; pass:-instcombine=21; pass:-ins=5; pass:-loop-unro=5,0480,45,38,0.7840909090909091,1.0,0.2631578947368421
R2_B_seed4,R2,1024,1284,935,25425,16,2581,2852,19992,0.9988376598217745,1.0,0.7590036014405762,0.8103834808259587,0.9957915437561455,637,0.681283422459893,0.0962566844919786,0,pass:-loop=1971; pass:-functionattrs=587; pass:-globalopt=565; pass:-inline=458; pass:-loop-vectorize=400; pass:-loop-unroll=335; pass:-reassociate=225; pass:-instcombine=94; pass:-instcombin=44; pass:-instcombi=26,0992,16,15,0.7484276729559748,1.0,0.26666666666666666
R2_B_seed7,R2,0032,114,34,7,0,0,1,6,,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R2_B_seed7,R2,0512,937,541,6944,21,806,824,5314,0.9925558312655087,1.0,0.9996236356793377,0.9988479262672811,0.9998559907834101,8,0.014787430683918669,0.0018484288354898336,0,number:65=5; pass:-simplif=1; number:21=1; pass:-reasso=1,0480,39,35,1.0,0.0,0.0
R2_B_seed7,R2,1024,1537,1106,13123,169,1393,1430,10300,0.9935391241923905,1.0,0.9990291262135922,0.998552160329193,0.9997713937361884,19,0.017179023508137433,0.0027124773960217,0,number:65=8; pass:-reassoci=2; pass:-simplif=1; number:21=1; pass:-reasso=1; pass:-instcombin=1; pass:-sro=1; pass:-instc=1; pass:-instco=1; pass:-simp=1,0992,33,33,0.9901960784313726,0.030303030303030304,0.0
R2_B_seed8,R2,0032,114,35,7,0,0,0,7,,,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R2_B_seed8,R2,0512,843,508,4866,13,536,734,3596,1.0,1.0,0.9833147942157954,0.9876695437731196,0.9981504315659679,53,0.10433070866141732,0.015748031496062992,0,pass:-instcombi=9; pass:-instcomb=7; pass:-indv=5; pass:-simplifycf=5; pass:-simplif=4; pass:-ins=4; pass:-simplify=3; pass:-deadar=3; pass:-dea=2; pass:-ind=2,0480,39,34,0.9797297297297297,0.23529411764705882,0.029411764705882353
R2_B_seed8,R2,1024,1283,929,7342,26,862,1074,5406,1.0,1.0,0.9815020347761746,0.9863797330427676,0.9970035412694089,90,0.0968783638320775,0.022604951560818085,0,pass:-instcom=11; pass:-instcombi=9; pass:-instcomb=9; pass:-deadar=7; pass:-indv=6; pass:-simplifycf=6; pass:-deadargel=5; pass:-simplif=4; pass:-ins=4; pass:-inst=4,0992,11,11,0.9807692307692307,0.09090909090909091,0.09090909090909091
R3_B_seed503,R3,0032,121,36,11,0,0,0,11,,,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R3_B_seed503,R3,0512,642,377,2896,2,34,146,2716,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,0480,13,12,1.0,0.0,0.0
R3_B_seed503,R3,1024,826,521,4667,2,42,479,4146,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,0992,13,10,1.0,0.0,0.0
R3_B_seed504,R3,0032,121,36,50,0,5,4,41,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R3_B_seed504,R3,0512,847,498,3707,12,174,175,3358,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,0480,26,15,1.0,0.0,0.0
R3_B_seed504,R3,1024,1105,657,5299,33,175,176,4948,1.0,1.0,0.9997978981406629,0.9998112851481411,0.9998112851481411,1,0.0015220700152207,0.0015220700152207,0,pass:-mem2r=1,0992,8,1,1.0,0.0,0.0
R3_B_seed505,R3,0032,128,37,22,0,0,1,21,,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R3_B_seed505,R3,0512,844,458,4102,10,40,57,4005,1.0,1.0,0.9997503121098626,0.999756216479766,0.999756216479766,1,0.002183406113537118,0.002183406113537118,0,pass:-vectorize-l=1,0480,20,20,1.0,0.0,0.0
R3_B_seed505,R3,1024,1159,764,7401,14,40,60,7301,1.0,1.0,0.9998630324613067,0.9998648831239022,0.9998648831239022,1,0.0013089005235602095,0.0013089005235602095,0,pass:-vectorize-l=1,0992,17,17,1.0,0.0,0.0
R4_B_seed600,R4,0032,113,36,26,0,6,3,17,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R4_B_seed600,R4,0512,743,502,1774,15,187,243,1344,1.0,1.0,0.9992559523809523,0.9994363021420518,1.0,1,0.00199203187250996,0.0,0,pass:-inline=1,0480,37,31,1.0,0.0,0.0
R4_B_seed600,R4,1024,1150,882,2795,17,296,395,2104,1.0,1.0,0.9843155893536122,0.9881932021466905,0.9996422182468694,20,0.022675736961451247,0.0011337868480725624,0,pass:-inline=11; pass:-licm=7; pass:-instcombine=6; pass:-deadargelim=6; pass:-deadarg=1; pass:-inst=1; pass:-deada=1,0992,24,24,1.0,0.0,0.0
R4_B_seed601,R4,0032,121,36,25,1,4,3,18,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R4_B_seed601,R4,0512,988,604,481,11,32,39,410,1.0,1.0,0.9975609756097561,0.997920997920998,0.997920997920998,1,0.0016556291390728477,0.0016556291390728477,0,pass:-instcomb=1,0480,47,44,1.0,0.0,0.0
R4_B_seed601,R4,1024,1396,999,843,27,34,82,727,0.9411764705882353,1.0,0.9903713892709766,0.9893238434163701,0.9976275207591934,9,0.009009009009009009,0.002002002002002002,0,number:69=2; pass:-inst=2; pass:-instcomb=1; pass:-simplif=1; pass:-reassociat=1; pass:-simpli=1; pass:-simpl=1,0992,30,30,0.9,0.06666666666666667,0.0
R4_B_seed602,R4,0032,131,40,53,0,5,2,46,1.0,1.0,0.9782608695652174,0.9811320754716981,1.0,1,0.025,0.0,0,pass:-simplifycf=1,,,,,,
R4_B_seed602,R4,0512,886,525,6445,13,950,1022,4473,1.0,1.0,0.9807735300693047,0.9866563227307991,0.9989138867339022,37,0.07047619047619047,0.013333333333333334,0,pass:-adce=35; pass:-deadargelim=33; pass:-simplifycf=3; pass:-simplifyc=2; pass:-adc=2; pass:-globalop=2; pass:-sro=1; pass:-deadargeli=1; pass:-simp=1; pass:-dea=1,0480,52,38,0.9711191335740073,0.2894736842105263,0.07894736842105263
R4_B_seed602,R4,1024,1108,739,11859,14,1537,1639,8683,1.0,1.0,0.9631463779799608,0.9730162745594063,0.9978075723079518,128,0.17320703653585928,0.03112313937753721,0,pass:-adce=125; pass:-deadargelim=109; pass:-globalop=43; pass:-deadargel=11; pass:-dea=6; pass:-simplifycf=4; pass:-instco=3; pass:-deadargeli=2; pass:-simplifyc=2; pass:-adc=2,0992,10,10,0.9449152542372882,0.7,0.1
R4_B_seed603,R4,0032,128,40,50,0,22,12,16,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R4_B_seed603,R4,0512,789,509,3512,10,93,618,2801,1.0,1.0,0.9978579078900393,0.9982915717539863,0.9988610478359908,5,0.009823182711198428,0.005893909626719057,0,pass:-simplifycf=2; pass:-benchmark=2; pass:-simpl=1; pass:-sro=1,0480,40,40,1.0,0.0,0.0
R4_B_seed603,R4,1024,1194,901,5558,13,108,712,4738,1.0,1.0,0.9981004643309414,0.998380712486506,0.9987405541561712,8,0.008879023307436182,0.006659267480577136,0,pass:-simplifycf=2; pass:-benchmark=2; pass:-forgettable=2; pass:-simpl=1; pass:-sro=1; pass:-simplifyc=1,0992,17,16,1.0,0.0,0.0
RP_B_seed400,RP,0032,134,41,19,0,2,5,12,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
RP_B_seed400,RP,0512,877,528,4064,3,243,567,3254,0.9958847736625515,1.0,0.9717271051014137,0.9771161417322834,0.9901574803149606,45,0.08522727272727272,0.04924242424242424,0,pass:-newpass=33; pass:-mem2s=17; pass:-predicted=15; pass:-mem2mem=6; pass:-sroa2=5; pass:-peephole2=4; pass:-loop-idiom=2; pass:-loop=2; pass:-simplifycf=2; pass:-sim=1,0480,27,27,0.8991596638655462,0.3333333333333333,0.1111111111111111
RP_B_seed400,RP,1024,1356,999,8083,57,350,688,7045,0.9971428571428571,1.0,0.9643718949609652,0.9688234566373871,0.9894841024372139,122,0.12212212212212212,0.056056056056056056,0,pass:-newpass=105; pass:-mem2mem=44; pass:-mem2s=39; pass:-predicted=15; pass:-sroa2=6; pass:-avoid=5; pass:-peephole2=4; pass:-unroll-loops=4; pass:-mem=3; pass:-unroll=3,0992,33,33,0.9644268774703557,0.18181818181818182,0.0
